text,title,score,illness,health_substance,url
"Abstract Awareness of physical activity (PA) constraints in patients with primary hypothyroidism on thyroid hormone replacement therapy (THR) is important. Hence, this cross-sectional matched case-control study aimed to determine PA and sports participation (SP) in patients with hypothyroidism on THR in comparison to control subjects. Accordingly, survey questions were selected from the National Survey on Injuries and Physical Activity in the Netherlands (IPAN), supplemented with questions related to self-reported clinical characteristics and exercise-related constraints (ERC) of patients. In total, 1,724 female patients (mean age 53.0 years ±11.6) and 1,802 controls (mean age 52.6 ± 13.2) were included. Compared to controls, patients were less likely to comply with the moderate-intensity PA guideline (OR 0.70; 95% CI: 0.611-0.803), although patients were more actively participating in sports (OR 1.40; 95% CI: 1.156-1.706). Two-thirds of patients reported that hypothyroidism was limiting their PA performance. These limitations were more pronounced in patients with autoimmune thyroiditis (AIT) than in patients with hypothyroidism from other aetiology (OR 1.93; 95% CI: 1.518-2.457), representing disease-specific exercise intolerance. In order to establish effective intervention programmes to encourage regular PA in hypothyroid patients on THR with exercise intolerance, further research is warranted to better understand PA barriers.   Keywords: Autoimmune thyroiditis; Hashimoto disease; comorbid conditions; exercise tolerance; physical fitness.","Physical activity, sports participation and exercise-related constraints in adult women with primary hypothyroidism treated with thyroid hormone replacement therapy",0,"hypothyroidism, autoimmune thyroiditis","exercise, physical activity, pa",https://pubmed.ncbi.nlm.nih.gov/34165042/
Conclusions: MetS and insulin resistance are associated with lower vitamin D in patients with SLE. Further studies could determine whether vitamin D repletion confers better control of these cardiovascular risk factors and improve long-term outcomes in SLE.   Keywords: cardiovascular disease; epidemiology; systemic lupus erythematosus; vitamin D.,Lower vitamin D is associated with metabolic syndrome and insulin resistance in systemic lupus: data from an international inception cohort,0,"lupus, sle",vitamin D,https://pubmed.ncbi.nlm.nih.gov/33555325/
"Abstract The objective of this study was to determine the feasibility of studying acupuncture in patients with systemic lupus erythematosus (SLE), and to pilot test the safety and explore benefits of a standardized acupuncture protocol designed to reduce pain and fatigue. Twenty-four patients with SLE were randomly assigned to receive 10 sessions of either acupuncture, minimal needling or usual care. Pain, fatigue and SLE disease activity were assessed at baseline and following the last sessions. Safety was assessed at each session. Fifty-two patients were screened to enroll 24 eligible and interested persons. Although transient side effects, such as brief needling pain and lightheadedness, were reported, no serious adverse events were associated with either the acupuncture or minimal needling procedures. Twenty-two participants completed the study, and the majority (85%) of acupuncture and minimal needling participants were able to complete their sessions within the specified time period of 5-6 weeks. 40% of patients who received acupuncture or minimal needling had >/=30% improvement on standard measures of pain, but no usual care patients showed improvement in pain. A ten-session course of acupuncture appears feasible and safe for patients with SLE. Benefits were similar for acupuncture and minimal needling.",Acupuncture for systemic lupus erythematosus: a pilot RCT feasibility and safety study,1,"lupus erythematosus, sle",acupuncture,https://pubmed.ncbi.nlm.nih.gov/19029279/
"Conclusion: This review showed promising results for physical exercise and psychological interventions as adjuncts to traditional medical therapy for improvement in fatigue, depression, pain and quality of life for systemic lupus erythematosus. Further high-quality randomized controlled trials with longer follow-up periods are warranted.   Keywords: Systemic lupus erythematosus; depression; fatigue; non-pharmacologic therapies; pain; quality of life.",Non-pharmacologic therapies for systemic lupus erythematosus,1,lupus erythematosus,exercise,https://pubmed.ncbi.nlm.nih.gov/30961418/
"Abstract Systemic lupus erythematosus (SLE) is a rheumatic disease characterized by a variety of symptoms, especially fatigue, pain and reduced quality of life. Physical exercise is a useful tool for improving cardiovascular fitness, reducing metabolic abnormalities and fatigue and improving quality of life. However, very few studies have focused on the relationship between SLE and physical exercise. This paper reviews the main SLE symptoms that can be alleviated by exercising, as well as the results of studies seeking to analyse the exercise capacity and physical training possibilities of SLE patients. Considerations for future research are also discussed.",Systemic lupus erythematosus and exercise,1,"lupus erythematosus, sle",exercise,https://pubmed.ncbi.nlm.nih.gov/17283578/
"Conclusion
The effect of PA and exercise as treatments for endometrioses-associated symptoms could not be determined due to significant limitations of the included studies. Future research should be based on RCTs of high methodological quality, measuring and reporting relevant core outcomes such as pain, improvements in symptoms and quality of life, and acceptability and satisfaction from the perspectives of patients. Furthermore, these outcomes need to be measured using reliable and validated tools.   Keywords: Physiotherapy, Pelvic pain, Endometriosis, Physical activity, Exercise, Quality of life",Effect of physical activity and exercise on endometriosis-associated symptoms: a systematic review,0,endometriosis,"physical activity, exercise",https://pubmed.ncbi.nlm.nih.gov/34627209/
"Abstract Endometriosis, a gynecological disease that affects reproductive age women is difficultly controlled in the long term by currently available treatments, prompting patients to adopt self-controlled interventions including dietary changes. The aim of this review is to provide evidence of how curcumin, quercetin, and resveratrol can act as natural interventions to control endometriosis. The review followed PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines. A comprehensive search was carried out in PubMed, Scopus, and Web of Science to gather together all the articles that study the specific actions of curcumin, resveratrol, or quercetin in endometriosis pathophysiology. All types of study designs including experimental data were considered. Thirty articles, including a clinical trial, were included. For the assessment of the quality of the selected studies that globally have ""good quality"", the GRADE (Grading of Recommendations Assessment, Development and Evaluation) and the SYRCLE ROB tool criteria were used. By acting on mechanisms of inflammation, oxidative stress, cell proliferation, invasion and adhesion, apoptosis, angiogenesis and glucose and lipid metabolism, curcumin, quercetin, and resveratrol showed to have beneficial effects, evidencing their potential application in the endometriosis treatment. However, future clinical studies are necessary to determine the real efficacy of these compounds in human endometriosis. Keywords: curcumin; endometriosis; inflammation; nutrition; quercetin; resveratrol.","Impact of curcumin, quercetin, or resveratrol on the pathophysiology of endometriosis: A systematic review",1,endometriosis,"curcumin, quercetin, resveratrol",https://pubmed.ncbi.nlm.nih.gov/35583746/
"Abstract Quercetin (3,3',4',5,7-pentahydroxyflavone) is a major dietary flavonol found in diverse fruits and vegetables such as onions, cauliflower, apple skin, lettuce and chili peppers. In recent studies, quercetin is reported as a functional compound and shows a wide range of biological effects such as antioxidant, anti-inflammatory and antiangiogenic properties in obesity, diabetes, cardiovascular diseases and various cancers. However, to date, the therapeutic effect of quercetin on the progression of endometriosis, which is a common gynecological disease in reproductive-aged women and brings chronic pelvic pain and infertility, has not been examined in depth. Results of this study demonstrated that quercetin inhibited the proliferation and induced the cell cycle arrest in VK2/E6E7 and End1/E6E7 cells. Furthermore, it induced cell apoptosis with DNA fragmentation, loss of mitochondrial membrane potential and reactive oxygen species production. The effects accompanied down-regulation of ERK1/2, P38 MAPK and AKT signaling molecules. Additionally, the administration of quercetin indicated antiproliferative and anti-inflammatory effects on endometriosis autoimplanted mouse models. The mRNA expression of Ccnd1 significantly decreased in response to quercetin intraperitoneal injection when compared to that in vehicle-treated mice. The knockdown of CCND1 mRNA attenuated the proliferation with sub-G0/G1 cell cycle arrest and increased the apoptosis of VK2/E6E7 and End1/E6E7 cells. Furthermore, the treatment of quercetin induced miR-503-5p, miR-1283, miR-3714 and miR-6867-5p related to CCND1 in both cell lines and also stimulated miR-503-5p and miR-546 expression in the mouse model. Hence, quercetin may potentially act as a natural therapeutic to reduce and treat human endometriosis. Keywords: Antiproliferation; Endometriosis; MicroRNAs; Pregnancy; Quercetin.",Quercetin inhibits proliferation of endometriosis regulating cyclin D1 and its target microRNAs in vitro and in vivo,1,endometriosis,quercetin,https://pubmed.ncbi.nlm.nih.gov/30359864/
"Abstract Green tea epigallocatechin-3-gallate (EGCG) can inhibit angiogenesis and development of an experimental endometriosis model in mice, but it suffers from poor bioavailability. A prodrug of EGCG (pro-EGCG, EGCG octaacetate) is utilized to enhance the stability and bioavailability of EGCG in vivo. In this study, the potential of pro-EGCG as a potent anti-angiogenesis agent for endometriosis in mice was investigated. Homologous endometrium was subcutaneously transplanted into mice to receive either saline, vitamin E, EGCG or pro-EGCG treatment for 4 weeks. The growth of the endometrial implants were monitored by IVIS(®) non-invasive in vivo imaging during the interventions. Angiogenesis of the endometriotic lesions was determined by Cellvizio(®) in vivo imaging and SCANCO(®) Microfil microtomography. The bioavailability, anti-oxidation and anti-angiogenesis capacities of the treatments were measured in plasma and lesions. The implants with adjacent outer subcutaneous and inner abdominal muscle layers were collected for histological, microvessel and apoptosis examinations. The result showed that EGCG and pro-EGCG significantly decreased the growth of endometrial implants from the 2nd week to the 4th week of intervention. EGCG and pro-EGCG significantly reduced the lesion size and weight, inhibited functional and structural microvessels in the lesions, and enhanced lesion apoptosis at the end of interventions. The inhibition by pro-EGCG in all the angiogenesis parameters was significantly greater than that by EGCG, and pro-EGCG also had better bioavailability and greater anti-oxidation and anti-angiogenesis capacities than EGCG. Ovarian follicles and uterine endometrial glands were not affected by either EGCG or pro-EGCG. Vitamin E had no effect on endometriosis. In conclusion, pro-EGCG significantly inhibited the development, growth and angiogenesis of experimental endometriosis in mice with high efficacy, bioavailability, anti-oxidation and anti-angiogenesis capacities. Pro-EGCG could be a potent anti-angiogenesis agent for endometriosis.",Prodrug of green tea epigallocatechin-3-gallate (Pro-EGCG) as a potent anti-angiogenesis agent for endometriosis in mice,2,endometriosis,"epigallocatechin-3-gallate, egcg",https://pubmed.ncbi.nlm.nih.gov/22948799/
"Abstract Epigallocatechin-3-gallate (EGCG), a bioactive component of green tea, has been reported to exert anti-inflammatory effects on immune cells. EGCG is also shown to activate the metabolic regulator, adenosine 5'-monophosphate-activated protein kinase (AMPK). Reports have also indicated that EGCG inhibits the immune-stimulated phosphoinositide 3-kinase (PI3K)/Akt/mammalian target of rapamycin (mTOR) pathway. The PI3K/Akt/mTOR pathway has been implicated in mesangial cell activation in lupus. Mesangial cells from MRL/lpr lupus-like mice are hyper-responsive to immune stimulation and overproduce nitric oxide (NO) and other inflammatory mediators when stimulated. In our current studies, we sought to determine the mechanism by which EGCG attenuates immune-induced expression of pro-inflammatory mediators. Cultured mesangial cells from MRL/lpr mice were pre-treated with various concentrations of EGCG and stimulated with lipopolysaccharide (LPS)/interferon (IFN)-γ. EGCG activated AMPK and blocked LPS/IFN-γ-induced inflammatory mediator production (iNOS expression, supernatant NO and interleukin-6). Interestingly, EGCG attenuated inflammation during AMPK inhibition indicating that the anti-inflammatory effect of EGCG may be partially independent of AMPK activation. Furthermore, we found that EGCG effectively inhibited the immune-stimulated PI3K/Akt/mTOR pathway independently of AMPK, by decreasing phosphorylation of Akt, suggesting an alternate mechanism for EGCG-mediated anti-inflammatory action in mesangial cells. Taken together, these studies show that EGCG attenuated inflammation in MRL/lpr mouse mesangial cells via the PI3K/Akt/mTOR pathway. Our findings suggest a potential therapeutic role for the use of EGCG to regulate inflammation and control autoimmune disease.   Keywords: AMPK, inflammation, lupus, metabolism, MRL/lpr
",Epigallocatechin-3-gallate (EGCG) attenuates inflammation in MRL/lpr mouse mesangial cells,1,endometriosis,"epigallocatechin-3-gallate, egcg",https://pubmed.ncbi.nlm.nih.gov/20140007/
"Abstract
Idiopathic normal pressure hydrocephalus (iNPH), albeit characterized by gait impairment, cognitive decline, and urinary incontinence, in clinical diagnosis is poorly defined and is usually coexistent with other neurodegenerative diseases. Surgical operation with shunt implantation is the primary treatment but leads to variable outcomes. Recent studies demonstrated that the pathophysiology of iNPH may include both preceding cerebrovascular events and concomitant Alzheimer's dementia or dopaminergic degenerative neuropathology in patients’ brain. These factors not only help differentiate iNPH from its mimics but also associated with the extent of symptomatic improvement after surgery. In this review, we examined these mechanisms underlying the development of iNPH and the beneficial effects of shunt surgery. Furthermore, the increasing identification and importance of biomarkers from cerebrospinal fluid and neural imaging could also predict the responsiveness of treatment. Finally, these progresses suggest that combination therapy would be necessary for iNPH treatment in the future.

Keywords: Acupuncture, Biomarker, Clinical outcome, Normal pressure hydrocephalus, Shunt",Diagnosis and treatment for normal pressure hydrocephalus: From biomarkers identification to outcome improvement with combination therapy,1,"idiopathic normal pressure hydrocephalus, inph",acupuncture,https://pubmed.ncbi.nlm.nih.gov/35233354/
"Conclusion
Shunt surgery improved short-distance walking, functional exercise capacity, functional strength, and voluntary walking. An exercise program did not affect these outcomes. Short-distance walking was weakly correlated with voluntary walking, indicating improved physical capacity does not directly translate to increased physical activity. Further research should address how interventions should be tailored to promote physical activity after shunt surgery. Keywords: idiopathic normal pressure hydrocephalus, physical activity, exercise, actigraphy, gait, sleep",Physical Capacity and Activity in Patients With Idiopathic Normal Pressure Hydrocephalus,0,"idiopathic normal pressure hydrocephalus, inph",physical activity,https://pubmed.ncbi.nlm.nih.gov/35418936/
"Conclusions
An additional effect of the 12-week HIFE-programme on the overall improvement according to the iNPH-scale after shunt surgery in iNPH was not shown. This could be due to high attrition rate. However, the long-term effect on balance and higher goal achievement indicate beneficial influences of supervised physical exercise. Keywords: Idiopathic normal pressure hydrocephalus, Neurosurgical procedures, Rehabilitation, Exercise",Physical exercise and goal attainment after shunt surgery in idiopathic normal pressure hydrocephalus: a randomised clinical trial,1,"idiopathic normal pressure hydrocephalus, inph","physical activity, exercise",https://pubmed.ncbi.nlm.nih.gov/34809666/
"Abstract Thyroid dysfunction can compromise physical capacity. Here, we analyze the effects of hyperthyroidism and hypothyroidism on maximum swim time in rats subjected to acute forced swimming, as an indicator of anaerobic capacity. Animals were forced to swim against a load (5% of body weight) attached to the tail and were killed 48 hours after the last test. Hyperthyroid rats were treated with thyroxine (50 mug/100 g body weight, i. p. for 7 days). The hypothyroid group received 0.03% methimazole in the drinking water for 4 weeks. Thyroid state was confirmed by alterations in serum thyroid-stimulating hormone (TSH), triiodothyronine (T3), thyroxine (T4), and liver mitochondrial glycerol phosphate dehydrogenase (mGPD) activity. Hyperthyroid rats presented significantly lower visceral fat mass (VFM) and higher food intake (p<0.05) with unchanged body weight. Maximum swim time (MST), glycogen content (skeletal muscle and liver), and leptin levels were lower while corticosterone was higher (p<0.05). In hypothyroid rats body weight was lower (p<0.05), without changes in VFM. Tested at 7-day intervals, MST was lower for tests 2, 3, and 4 (p<0.05). Muscle glycogen was higher in extensor digitorum longus (EDL) and soleus (p<0.05), without changes in liver. Serum corticosterone was lower, while leptin was higher (p<0.05). These results suggest that in hyperthyroid and hypothyroid rats, thyroid hormones together with corticosterone and/or leptin may impair exercise capacity differently through its known effects on glycogen metabolism.",Maximum acute exercise tolerance in hyperthyroid and hypothyroid rats subjected to forced swimming,0,"hyperthyroidism, hypothyroidism",swimming,https://pubmed.ncbi.nlm.nih.gov/18548387/
"Conclusion The characteristics and symptoms related with the actual COVID-19 pandemic made the physical activity interventions a valuable prevention and treatment factor. Physical activity improves body composition, the cardiorespiratory, metabolic, and mental health of patients and enhancing antibody responses in vaccination. Keywords: Inactivity, Cardiorespiratory fitness, Metabolic health, Mitochondrial fitness, Mental health ",Physical activity and COVID-19. The basis for an efficient intervention in times of COVID-19 pandemic,2,"coronavirus, covid-19",physical activity,https://pubmed.ncbi.nlm.nih.gov/34861297/
"Abstract Novel Coronavirus COVID-19 or Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as well as Severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), are human pathogens. Current pandemics of SARS-CoV-2 represents a major health problem worldwide, with over four million cases and more than 300,000 deaths in the world. Development of effective therapy thus became an emergency. This report aims to highlight Resveratrol as possible therapeutic candidate in SARS-CoV-2 infection. The antiviral efficacy of Resveratrol was demonstrated for several viruses, including coronavirus. Resveratrol was shown to mitigate the major pathways involved in the pathogenesis of SARS-CoV-2, including regulation of the renin-angiotensin system (RAS) and expression of angiotensin-converting enzyme 2 (ACE2), stimulation of immune system and downregulation of pro-inflammatory cytokines release. It was also reported to promote SIRT1 and p53 signaling pathways and increase cytotoxic T lymphocytes (CTLs) and natural killer (NK) immune cells. In addition, Resveratrol was demonstrated to be a stimulator of fetal hemoglobin and a potent antioxidant, by trapping reactive oxygen species (ROS). According to these reports, Resveratrol could be proposed as potential therapeutics in the treatment of SARS-CoV-2. Keywords: SARS-CoV-2; Resveratrol; antiviral activity; immune response; ACE2; oxidative stress; HbF.",Potential therapeutic effects of Resveratrol against SARS-CoV-2,2,"coronavirus, covid-20",resveratrol,https://pubmed.ncbi.nlm.nih.gov/32985211/
"Abstract
Acupuncture is an important part of Chinese medicine that has been widely used in the treatment of inflammatory diseases. During the coronavirus disease 2019 (COVID-19) epidemic, acupuncture has been used as a complementary treatment for COVID-19 in China. However, the underlying mechanism of acupuncture treatment of COVID-19 remains unclear. Based on bioinformatics/topology, this paper systematically revealed the multi-target mechanisms of acupuncture therapy for COVID-19 through text mining, bioinformatics, network topology, etc. Two active compounds produced after acupuncture and 180 protein targets were identified. A total of 522 Gene Ontology terms related to acupuncture for COVID-19 were identified, and 61 pathways were screened based on the Kyoto Encyclopedia of Genes and Genomes. Our findings suggested that acupuncture treatment of COVID-19 was associated with suppression of inflammatory stress, improving immunity and regulating nervous system function, including activation of neuroactive ligand-receptor interaction, calcium signaling pathway, cancer pathway, viral carcinogenesis, Staphylococcus aureus infection, etc. The study also found that acupuncture may have additional benefits for COVID-19 patients with cancer, cardiovascular disease and obesity. Our study revealed for the first time the multiple synergistic mechanisms of acupuncture on COVID-19. Acupuncture may play an active role in the treatment of COVID-19 and deserves further promotion and application. These results may help to solve this pressing problem currently facing the world.

Keywords: COVID-19; acupuncture; bioinformatics; interventions; network topology.",Is acupuncture effective in the treatment of COVID-19 related symptoms? Based on bioinformatics/network topology strategy,1,"coronavirus, covid-21",acupuncture,https://pubmed.ncbi.nlm.nih.gov/33866350/
"Conclusion: The findings of this study show that vitamin D supplementation is effective in reducing the COVID-19 severity. Hence, vitamin D should be recommended as an adjuvant therapy for COVID-19.However, more robust and larger trials are required to substantiate it further.",Does vitamin D supplementation reduce COVID-19 severity?: a systematic review,2,"coronavirus, covid-22",vitamin D,https://pubmed.ncbi.nlm.nih.gov/35166850/
"Abstract Since the global outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), research has focused on understanding the etiology of coronavirus disease 2019 (COVID-19). Identifying and developing prophylactic and therapeutics strategies to manage the pandemic is still of critical importance. Among potential targets, the role of the gut and lung microbiomes in COVID-19 has been questioned. Consequently, probiotics were touted as potential prophylactics and therapeutics for COVID-19. In this review we highlight the role of the gut and lung microbiome in COVID-19 and potential mechanisms of action of probiotics. We also discuss the progress of ongoing clinical trials for COVID-19 that aim to modulate the microbiome using probiotics in an effort to develop prophylactic and therapeutic strategies. To date, despite the large interest in this area of research, there is promising but limited evidence to suggest that probiotics are an effective prophylactic or treatment strategy for COVID-19. However, the role of the microbiome in pathogenesis and as a potential target for therapeutics of COVID-19 cannot be discounted. Keywords: SARS-CoV-2, COVID-19, Gut microbiome, Lung microbiome, Probiotics, Respiratory tract infections, Supplements",Probiotics: A gut response to the COVID-19 pandemic but what does the evidence show?,1,"coronavirus, covid-23","probiotic, lactobacillus",https://pubmed.ncbi.nlm.nih.gov/36184201/
